DateTime,Event
2019-03-15 07:51:01,Accident on ECP (towards Changi Airport) at East Coast Park Service Rd Exit
2019-03-15 07:19:00,Accident on Clementi Avenue 6 (towards Clementi Loop) after Clementi Loop. Avoid left lane
2019-03-15 04:02:24,Accident on PIE (towards Changi Airport) at Tampines Ave 5 Exit
2019-03-15 00:04:36,Accident on BKE (towards Woodlands) before Woodlands Checkpoint. Avoid lane 1
2019-03-14 22:26:19,Accident on MCE (towards ECP) before Central Blvd Exit. Avoid lane 5
2019-03-14 20:42:02,Heavy Traffic on PIE (towards Tuas) after Adam Rd Exit
2019-03-14 20:17:46,Accident on PIE (towards Tuas) after Adam Rd Exit
2019-03-14 19:56:33,Accident on PIE (towards Tuas) after Adam Rd Exit with congestion till Thomson Rd Exit. Avoid lane 2
2019-03-14 19:49:36,Accident on PIE (towards Tuas) after Adam Rd Exit. Avoid lane 2
2019-03-14 19:25:07,Accident on AYE (towards Tuas) before Buona Vista exit
2019-03-14 19:11:22,Heavy Traffic on AYE (towards MCE) before Alexandra Rd Exit
2019-03-14 19:09:11,Accident on AYE (towards Tuas) before Buona Vista exit with congestion till Lower Delta Rd Exit
2019-03-14 19:05:27,Accident on AYE (towards MCE) before Alexandra Rd Exit with congestion till Clementi Rd Exit
2019-03-14 18:53:15,Accident on PIE (towards Tuas) before KPE Exit. Avoid lane 5
2019-03-14 18:43:38,Accident on AYE (towards MCE) before Alexandra Rd Exit with congestion till Clementi Rd Exit. Avoid lane 1
2019-03-14 18:35:39,Accident on AYE (towards MCE) before Alexandra Rd Exit with congestion till Clementi Rd Exit. Avoid lanes 1 and 2
2019-03-14 18:34:29,Accident on Pasir Panjang Road (towards City) after Jalan Mat Jambol
2019-03-14 18:28:03,Accident on AYE (towards Tuas) before Buona Vista exit with congestion till Lower Delta Rd Exit. Avoid lane 1
2019-03-14 18:25:20,Accident on AYE (towards MCE) before Alexandra Rd Exit with congestion till Clementi Rd Entrance. Avoid lanes 1 and 2
2019-03-14 18:24:17,Accident on KPE (towards ECP) at Tampines Road Entrance
2019-03-14 18:24:17,Accident on AYE (towards MCE) before Alexandra Rd Exit. Avoid lanes 1 and 2
2019-03-14 18:18:59,Accident on AYE (towards Tuas) before Buona Vista exit. Avoid lane 1
2019-03-14 18:13:42,Heavy Traffic on ECP (towards Changi Airport) after Fort Rd Exit
2019-03-14 18:04:18,Accident on ECP (towards Changi Airport) after Fort Rd Exit with congestion till Fort Rd Exit. Avoid lane 1
2019-03-14 17:57:57,Accident on ECP (towards Changi Airport) after Fort Rd Exit. Avoid lane 1
2019-03-14 17:23:15,Heavy Traffic on TPE (towards SLE) after Punggol Rd Exit
2019-03-14 17:21:42,Heavy Traffic on PIE (towards Changi Airport) after Paya Lebar Rd
2019-03-14 17:15:49,Accident on TPE (towards SLE) after Punggol Rd Exit with congestion till Tampines Ave 10 Exit. Avoid lanes 2 and 3
2019-03-14 17:14:38,Accident on TPE (towards SLE) after Punggol Rd Exit with congestion till Tampines Ave 10 Exit. Avoid lane 3
2019-03-14 17:12:30,Accident on TPE (towards SLE) after Punggol Rd Exit with congestion till Tampines Flyover. Avoid lane 3
2019-03-14 17:05:02,Accident on PIE (towards Changi Airport) after Paya Lebar Rd with congestion till Kallang Way. Avoid lane 1
2019-03-14 17:03:25,Accident on AYE (towards Tuas) before Clementi Ave 2 Exit. Avoid lane 4
2019-03-14 16:53:50,Accident on PIE (towards Changi Airport) after Paya Lebar Rd. Avoid lane 1
2019-03-14 16:41:09,Obstacle on AYE (towards Tuas) before Telok Blangah Rd Exit. Avoid lane 2
2019-03-14 16:32:07,Accident on TPE (towards SLE) after Punggol Rd Exit with congestion till Tampines Flyover. Avoid lanes 2 and 3
